,name,coast_length,border_length,sea_level,number_of_borders,avg_temp,location_coast_length,location_border_length,location_sea_level,location_number_of_borders,location_avg_temp,label
274,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
276,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
278,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
280,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
281,Afghanistan,0.0,5529.0,1885.0,6,12.6,1566.3,2027.0,1150.0,3,22.35,0
282,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
284,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
286,Albania,362.0,1102.0,708.0,6,11.4,7600.0,1932.0,538.0,6,13.45,1
289,Albania,362.0,1102.0,708.0,6,11.4,7600.0,1932.0,538.0,6,13.45,1
290,Albania,362.0,1102.0,708.0,6,11.4,58.0,3650.0,312.0,6,21.4,1
291,Albania,362.0,1102.0,708.0,6,11.4,310.0,1461.0,1432.0,4,5.8,1
292,Albania,362.0,1102.0,708.0,6,11.4,2413.0,704.0,282.0,3,11.5,1
293,Albania,362.0,1102.0,708.0,6,11.4,362.0,1102.0,708.0,6,11.4,1
294,Albania,362.0,1102.0,708.0,6,11.4,58.0,3650.0,312.0,6,21.4,1
295,Albania,362.0,1102.0,708.0,6,11.4,193.0,2253.0,514.0,5,17.75,1
296,Albania,362.0,1102.0,708.0,6,11.4,1770.0,4348.0,423.0,6,21.8,1
297,Albania,362.0,1102.0,708.0,6,11.4,853.0,4047.0,380.0,4,26.8,1
298,Albania,362.0,1102.0,708.0,6,11.4,0.0,5529.0,1885.0,6,12.6,1
300,Albania,362.0,1102.0,708.0,6,11.4,2798.0,4862.0,1034.0,6,17.75,1
305,Albania,362.0,1102.0,708.0,6,11.4,362.0,1102.0,708.0,6,11.4,1
306,Albania,362.0,1102.0,708.0,6,11.4,310.0,1461.0,1432.0,4,5.8,1
307,Albania,362.0,1102.0,708.0,6,11.4,362.0,1102.0,708.0,6,11.4,1
308,Albania,362.0,1102.0,708.0,6,11.4,310.0,1461.0,1432.0,4,5.8,1
309,Albania,362.0,1102.0,708.0,6,11.4,0.0,5529.0,1885.0,6,12.6,1
311,Albania,362.0,1102.0,708.0,6,11.4,7600.0,1932.0,538.0,6,13.45,1
314,Albania,362.0,1102.0,708.0,6,11.4,7600.0,1932.0,538.0,6,13.45,1
315,Albania,362.0,1102.0,708.0,6,11.4,58.0,3650.0,312.0,6,21.4,1
316,Albania,362.0,1102.0,708.0,6,11.4,310.0,1461.0,1432.0,4,5.8,1
317,Albania,362.0,1102.0,708.0,6,11.4,2413.0,704.0,282.0,3,11.5,1
318,Albania,362.0,1102.0,708.0,6,11.4,362.0,1102.0,708.0,6,11.4,1
319,Albania,362.0,1102.0,708.0,6,11.4,58.0,3650.0,312.0,6,21.4,1
320,Albania,362.0,1102.0,708.0,6,11.4,193.0,2253.0,514.0,5,17.75,1
321,Albania,362.0,1102.0,708.0,6,11.4,1770.0,4348.0,423.0,6,21.8,1
322,Albania,362.0,1102.0,708.0,6,11.4,853.0,4047.0,380.0,4,26.8,1
323,Albania,362.0,1102.0,708.0,6,11.4,0.0,5529.0,1885.0,6,12.6,1
325,Albania,362.0,1102.0,708.0,6,11.4,2798.0,4862.0,1034.0,6,17.75,1
330,Albania,362.0,1102.0,708.0,6,11.4,362.0,1102.0,708.0,6,11.4,1
331,Albania,362.0,1102.0,708.0,6,11.4,310.0,1461.0,1432.0,4,5.8,1
332,Albania,362.0,1102.0,708.0,6,11.4,362.0,1102.0,708.0,6,11.4,1
333,Albania,362.0,1102.0,708.0,6,11.4,310.0,1461.0,1432.0,4,5.8,1
334,Albania,362.0,1102.0,708.0,6,11.4,0.0,5529.0,1885.0,6,12.6,1
335,Albania,362.0,1102.0,708.0,6,11.4,1290.0,639.0,746.0,2,24.8,1
338,Albania,362.0,1102.0,708.0,6,11.4,0.0,701.0,800.0,4,22.35,1
341,Albania,362.0,1102.0,708.0,6,11.4,0.0,2562.0,910.0,8,6.35,1
