,name,coast_length,border_length,sea_level,number_of_borders,avg_temp,location_coast_length,location_border_length,location_sea_level,location_number_of_borders,location_avg_temp,start_year,finish_year,wars_victory,wars_loses,total_wars_participate,wars_inside_country,imperialism_wars,deimperialism_wars,battles_in_country,label
142,Afghanistan,0.0,5529.0,1885.0,6,12.6,2640.0,4431.0,665.0,7,24.65,1990,1990,8.0,13.0,21.0,18.0,3,12,8,1
143,Afghanistan,0.0,5529.0,1885.0,6,12.6,273.0,1017.0,508.0,5,19.2,1990,1990,8.0,13.0,21.0,18.0,3,12,8,1
145,Afghanistan,0.0,5529.0,1885.0,6,12.6,58.0,3650.0,312.0,6,21.4,1991,1991,8.0,13.0,21.0,18.0,3,12,8,1
146,Afghanistan,0.0,5529.0,1885.0,6,12.6,499.0,462.0,108.0,2,25.35,1991,1991,8.0,13.0,21.0,18.0,3,12,8,1
147,Afghanistan,0.0,5529.0,1885.0,6,12.6,2640.0,4431.0,665.0,7,24.65,1991,1991,8.0,13.0,21.0,18.0,3,12,8,1
148,Afghanistan,0.0,5529.0,1885.0,6,12.6,273.0,1017.0,508.0,5,19.2,1991,1991,8.0,13.0,21.0,18.0,3,12,8,1
150,Afghanistan,0.0,5529.0,1885.0,6,12.6,3542.0,1.0,442.0,0,24.85,1900,1900,8.0,13.0,21.0,18.0,3,12,8,0
151,Afghanistan,0.0,5529.0,1885.0,6,12.6,1046.0,6774.0,900.0,4,20.2,1900,1900,8.0,13.0,21.0,18.0,3,12,8,0
152,Afghanistan,0.0,5529.0,1885.0,6,12.6,1046.0,6774.0,900.0,4,20.2,1900,1900,8.0,13.0,21.0,18.0,3,12,8,0
153,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,3651.0,3186.0,4,2.0,1900,1900,8.0,13.0,21.0,18.0,3,12,8,0
154,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1900,1900,8.0,13.0,21.0,18.0,3,12,8,0
155,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1900,1900,8.0,13.0,21.0,18.0,3,12,8,0
156,Afghanistan,0.0,5529.0,1885.0,6,12.6,3542.0,1.0,442.0,0,24.85,1900,1900,8.0,13.0,21.0,18.0,3,12,8,0
157,Afghanistan,0.0,5529.0,1885.0,6,12.6,1046.0,6774.0,900.0,4,20.2,1900,1900,8.0,13.0,21.0,18.0,3,12,8,0
158,Afghanistan,0.0,5529.0,1885.0,6,12.6,1046.0,6774.0,900.0,4,20.2,1900,1900,8.0,13.0,21.0,18.0,3,12,8,0
159,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,3651.0,3186.0,4,2.0,1900,1900,8.0,13.0,21.0,18.0,3,12,8,0
160,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1900,1900,8.0,13.0,21.0,18.0,3,12,8,0
161,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1900,1900,8.0,13.0,21.0,18.0,3,12,8,0
164,Afghanistan,0.0,5529.0,1885.0,6,12.6,459.0,2462.0,207.0,3,26.0,1900,1900,8.0,13.0,21.0,18.0,3,12,8,0
165,Afghanistan,0.0,5529.0,1885.0,6,12.6,1046.0,6774.0,900.0,4,20.2,1900,1900,8.0,13.0,21.0,18.0,3,12,8,0
166,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1900,1900,8.0,13.0,21.0,18.0,3,12,8,0
167,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1900,1900,8.0,13.0,21.0,18.0,3,12,8,0
168,Afghanistan,0.0,5529.0,1885.0,6,12.6,1046.0,6774.0,900.0,4,20.2,1900,1900,8.0,13.0,21.0,18.0,3,12,8,0
171,Afghanistan,0.0,5529.0,1885.0,6,12.6,1250.0,2690.0,164.0,3,1.7,1900,1900,8.0,13.0,21.0,18.0,3,12,8,0
172,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,3736.0,230.0,4,15.1,1900,1900,8.0,13.0,21.0,18.0,3,12,8,0
173,Afghanistan,0.0,5529.0,1885.0,6,12.6,1250.0,2690.0,164.0,3,1.7,1900,1900,8.0,13.0,21.0,18.0,3,12,8,0
175,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1900,1900,8.0,13.0,21.0,18.0,3,12,8,0
176,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1900,1900,8.0,13.0,21.0,18.0,3,12,8,0
179,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1900,1900,8.0,13.0,21.0,18.0,3,12,8,0
180,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1900,1900,8.0,13.0,21.0,18.0,3,12,8,0
182,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1900,1900,8.0,13.0,21.0,18.0,3,12,8,0
184,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1900,1900,8.0,13.0,21.0,18.0,3,12,8,0
186,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1900,1900,8.0,13.0,21.0,18.0,3,12,8,0
188,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1900,1900,8.0,13.0,21.0,18.0,3,12,8,0
