https://en.wikipedia.org/wiki/Muhammad_Tapar%27s_anti-Nizari_campaign,1107,1119,Seljuq Empire,Nizari Ismaili state,Muhammad Tapar's anti-Nizari campaign,"Western,Central Asia",unknown,unknown,unknown,unknown,False,0
https://en.wikipedia.org/wiki/Kalmare_ledung,1123,1123,Kingdom of Norway,,Kalmare ledung,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Jurchen_campaigns_against_the_Song_Dynasty,1125,1208,Jin dynasty,Song Dynasty,Jurchen campaigns against the Song Dynasty,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Byzantine-Hungarian_War_(1127%E2%80%9329),1127,1129,Byzantine Empire,"Kingdom of Hungary,Grand Principality of Serbia",Byzantine-Hungarian War (1127–29),Danube,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Civil_war_era_in_Norway,1130,1240,,Aristocrates,Civil war era in Norway,Norway,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Danish_Civil_War,1131,1157,,,Danish Civil War,"Jutland,Zealand,Scania,Slesvig,Holstein",-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/The_Anarchy,1135,1154,Stephen of Blois,"Empress Matilda,Henry Plantagenet",The Anarchy,"England,Normandy",-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Baussenque_Wars,1144,1162,House of Barcelona,House of Baux,Baussenque Wars,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Second_Crusade,1145,1149,"Sultanate of Rûm,Almoravid Dynasty,Zengid Dynasty,Abbasid Caliphate,Fatimid Caliphate","Kingdom of Jerusalem,Kingdom of France,Holy Roman Empire,Kingdom of Portugal,Kingdom of Castile,County of Barcelona,Kingdom of León,Byzantine Empire,Kingdom of Sicily,Kingdom of England",Second Crusade,"Iberia,Near East,Anatolia,Levant,Egypt",unknown,unknown,35002,20000,False,0
https://en.wikipedia.org/wiki/Northern_Crusades,1147,1242,"Denmark,Sweden,Teutonic Order","Estonians,Oeselians,Semigallians,Curonians,Latgallians,Selonians,Livonians,Prussians,Polabian Slavs",Northern Crusades,,-1,-1,-1,-1,False,0
