https://en.wikipedia.org/wiki/Battle_of_Auberoche,1345,1345,['Kingdom of England'],['Kingdom of France'],Battle of Auberoche,"['Auberoche', 'Aquitaine']",unknown,unknown,1200,7000,False,1
https://en.wikipedia.org/wiki/Battle_of_Bapheus,1345,1345,['Byzantine Empire'],['Ottoman Beylik'],Battle of Bapheus,[],-1,-1,2003,5002,False,1
https://en.wikipedia.org/wiki/Battle_of_Dimbos,1345,1345,['Byzantine Empire'],['Ottoman Beylik'],Battle of Dimbos,['Yenişehir'],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Marj_al-Saffar_(1303),1345,1345,['Mamluk Sultanate'],"['Mongol', 'Ilkhanate', 'Cilician Armenia']",Battle of Marj al-Saffar (1303),['Ghabaghib'],1006,unknown,38005,50009,False,1
https://en.wikipedia.org/wiki/Conquest_of_Sylhet,1345,1345,['Principality of Lakhnauti'],"['Gour Kingdom', 'Tungachal']",Conquest of Sylhet,['Barak River'],unknown,unknown,10000,100002,False,1
https://en.wikipedia.org/wiki/Battle_of_Happrew,1345,1345,['Kingdom of Scotland'],['Kingdom of England'],Battle of Happrew,"['Peebles', 'Scotland']",unknown,unknown,550,unknown,False,1
https://en.wikipedia.org/wiki/Battle_of_Bapheus,1346,1346,['Byzantine Empire'],['Ottoman Beylik'],Battle of Bapheus,[],-1,-1,2003,5002,False,1
https://en.wikipedia.org/wiki/Battle_of_Dimbos,1346,1346,['Byzantine Empire'],['Ottoman Beylik'],Battle of Dimbos,['Yenişehir'],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Marj_al-Saffar_(1303),1346,1346,['Mamluk Sultanate'],"['Mongol', 'Ilkhanate', 'Cilician Armenia']",Battle of Marj al-Saffar (1303),['Ghabaghib'],1006,unknown,38005,50009,False,1
https://en.wikipedia.org/wiki/Conquest_of_Sylhet,1346,1346,['Principality of Lakhnauti'],"['Gour Kingdom', 'Tungachal']",Conquest of Sylhet,['Barak River'],unknown,unknown,10000,100002,False,1
https://en.wikipedia.org/wiki/Battle_of_Happrew,1346,1346,['Kingdom of Scotland'],['Kingdom of England'],Battle of Happrew,"['Peebles', 'Scotland']",unknown,unknown,550,unknown,False,1
https://en.wikipedia.org/wiki/Siege_of_Calais_(1346%E2%80%931347),1347,1347,['Kingdom of England'],['Kingdom of France'],Siege of Calais (1346–1347),['Calais'],-1,-1,81000,20000,False,1
